name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region
Mutton rogan josh,"Mutton, yogurt, onion, ginger, garlic, garam masala, red chili powder, cardamom, clove, cinnamon, oil",non vegetarian,20,60,spicy,main course,Jammu & Kashmir,North
Prawn masala,"Shrimp, onion, tomato, ginger, garlic, turmeric, red chili powder, coconut, curry leaves, oil",non vegetarian,15,20,spicy,main course,Goa,West
Sweet lassi,"Yogurt, sugar, milk, cardamom, water",vegetarian,5,0,sweet,beverage,Punjab,North
Pav bhaji,"Potato, cauliflower, green peas, tomato, onion, capsicum, butter, pav bhaji masala, bread, lemon",vegetarian,15,30,spicy,snack,Maharashtra,West
Vada pav,"Potato, bread, gram flour, green chili, garlic, mustard seeds, curry leaves, oil, turmeric",vegetarian,15,20,spicy,snack,Maharashtra,West
Egg bhurji,"Egg, onion, tomato, green chili, turmeric, coriander, oil, cumin",non vegetarian,5,10,spicy,snack,Maharashtra,West
Chicken curry,"Chicken, onion, tomato, ginger, garlic, garam masala, turmeric, red chili powder, oil, coriander, yogurt",non vegetarian,15,40,spicy,main course,Maharashtra,West
Jeera rice,"Rice, cumin, ghee, water",vegetarian,5,20,mild,main course,Punjab,North
Dal tadka,"Toor dal, onion, tomato, garlic, cumin, mustard seeds, red chili powder, turmeric, ghee, coriander",vegetarian,10,30,spicy,main course,Punjab,North
Aloo jeera,"Potato, cumin, turmeric, green chili, coriander, oil, lemon",vegetarian,5,15,spicy,main course,Rajasthan,West
Shahi paneer,"Paneer, tomato, onion, cream, cashew, butter, garam masala, cardamom, ginger, garlic",vegetarian,15,25,mild,main course,Punjab,North
